"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "Name" "POP"
"64" "0045.inner-eurasia" "MON" -0.0141782 -0.0292706 0.00761879 0.0120184 -0.0109639 -0.0235218 -0.00548573 0.00894486 8.13994e-05 0.0107817 0.0132765 0.00140788 0.0021097 0.00413726 0.00625046 -0.00654103 0.00274456 -0.00337542 0.0019872 -0.00430272 "MON" "Mongols"
"65" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "KAR" "Finns"
"66" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "GEO" "Georgians"
"67" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "MOL" "Romanians"
"68" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "STA" "Tatars"
"69" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "Khs" "Khakas"
"70" "005.inner-eurasia" "Khs" -0.00809867 -0.022183 -0.00126039 -0.00335404 0.00506764 -0.000299583 0.00653572 0.0414765 -0.00470801 -0.0603395 -0.0330684 0.0611111 -0.00885023 0.0089773 0.00419879 -0.00638569 0.00974791 0.0047556 -0.0192782 0.00169704 "BAS" "Bashkirs"
"71" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "KAR" "Finns"
"72" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "GEO" "Georgians"
"73" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "MOL" "Romanians"
"74" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "STA" "Tatars"
"75" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "Khs" "Khakas"
"76" "005.inner-eurasia" "MOL" 0.00922024 0.0058968 -0.000843436 0.00810091 -0.00463806 -0.00112646 0.00273282 -3.39186e-05 0.00897419 0.00057598 -0.00267666 -0.00214734 0.00302175 0.00444246 -0.015535 0.0131934 0.0127945 -0.00887312 0.000453362 -0.0044212 "BAS" "Bashkirs"
"77" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "KAR" "Finns"
"78" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "GEO" "Georgians"
"79" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "MOL" "Romanians"
"80" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "STA" "Tatars"
"81" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "Khs" "Khakas"
"82" "005.inner-eurasia" "BAS" -0.00258493 -0.0135826 -0.00562828 -0.00926954 0.00205052 0.00394217 0.00120711 0.017989 0.00548573 0.0118778 0.0018654 0.00611685 0.00266869 -0.00161745 0.00315607 0.000233226 -0.00933892 0.00689619 0.00161886 -0.00300033 "BAS" "Bashkirs"
"83" "005.inner-eurasia" "GEO" 0.00724329 0.0044792 0.0169374 -0.00928487 -0.000467929 -0.000490097 0.00260502 -0.012023 0.00237906 7.84663e-05 0.00639074 0.00364076 -0.00765403 -7.48879e-05 -0.00262262 -0.00311903 0.00294526 -0.00334545 0.0019258 0.00536476 "KAR" "Finns"
