ID POP
Jordan560_Jordan560.jew Arabs
Jordan563_Jordan563.jew Arabs
Jordan608_Jordan608.jew Arabs
Jordan62_Jordan62.jew Arabs
Jordan646_Jordan646.jew Arabs
Lebanon2_Lebanon2.jew Arabs
Lebanon3_Lebanon3.jew Arabs
Lebanon4_Lebanon4.jew Arabs
Lebanon5_Lebanon5.jew Arabs
HGDP00631_HGDP00631.hgdp Arabs
Lebanon6_Lebanon6.jew Arabs
Lebanon8_Lebanon8.jew Arabs
moroccoA121_moroccoA121.jew Arabs
moroccoA57_moroccoA57.jew Arabs
moroccoA62_moroccoA62.jew Arabs
moroccoA98_moroccoA98.jew Arabs
moroccoB17_moroccoB17.jew Arabs
moroccoB93_moroccoB93.jew Arabs
moroccoC60_moroccoC60.jew Arabs
HGDP00634_HGDP00634.hgdp Arabs
HGDP00635_HGDP00635.hgdp Arabs
HGDP00637_HGDP00637.hgdp Arabs
Lebanon7_Lebanon7.jew Arabs
HGDP00630_HGDP00630.hgdp Arabs
HGDP00629_HGDP00629.hgdp Arabs
HGDP00628_HGDP00628.hgdp Arabs
HGDP00602_HGDP00602.hgdp Arabs
HGDP00603_HGDP00603.hgdp Arabs
HGDP00604_HGDP00604.hgdp Arabs
HGDP00605_HGDP00605.hgdp Arabs
HGDP00606_HGDP00606.hgdp Arabs
HGDP00607_HGDP00607.hgdp Arabs
HGDP00608_HGDP00608.hgdp Arabs
HGDP00609_HGDP00609.hgdp Arabs
HGDP00610_HGDP00610.hgdp Arabs
HGDP00611_HGDP00611.hgdp Arabs
HGDP00612_HGDP00612.hgdp Arabs
HGDP00613_HGDP00613.hgdp Arabs
HGDP00614_HGDP00614.hgdp Arabs
HGDP00615_HGDP00615.hgdp Arabs
HGDP00617_HGDP00617.hgdp Arabs
HGDP00618_HGDP00618.hgdp Arabs
HGDP00619_HGDP00619.hgdp Arabs
HGDP00620_HGDP00620.hgdp Arabs
HGDP00621_HGDP00621.hgdp Arabs
HGDP00622_HGDP00622.hgdp Arabs
HGDP00623_HGDP00623.hgdp Arabs
HGDP00624_HGDP00624.hgdp Arabs
HGDP00625_HGDP00625.hgdp Arabs
HGDP00626_HGDP00626.hgdp Arabs
HGDP00627_HGDP00627.hgdp Arabs
HGDP00639_HGDP00639.hgdp Arabs
Jordan603_Jordan603.jew Arabs
HGDP00616_HGDP00616.hgdp Arabs
GRC12118093_GRC12118093.khazar Arabs
GRC12118099_GRC12118099.khazar Arabs
Lebanese15AR37_Lebanese15AR37.lazaridis-2016 Arabs
Lebanese1AQ127_Lebanese1AQ127.lazaridis-2016 Arabs
Lebanese1AQ170_Lebanese1AQ170.lazaridis-2016 Arabs
Lebanese22BA23_Lebanese22BA23.lazaridis-2016 Arabs
Lebanese4AQ115_Lebanese4AQ115.lazaridis-2016 Arabs
Lebanese6AQ115_Lebanese6AQ115.lazaridis-2016 Arabs
Lebanese6AQ170_Lebanese6AQ170.lazaridis-2016 Arabs
Lebanese8AS15_Lebanese8AS15.lazaridis-2016 Arabs
Lebanese10AQ127_Lebanese10AQ127.lazaridis-2016 Arabs
Lebanese11AS14_Lebanese11AS14.lazaridis-2016 Arabs
Lebanese20AR21_Lebanese20AR21.lazaridis-2016 Arabs
Lebanese24AR27_Lebanese24AR27.lazaridis-2016 Arabs
Lebanese10AR37_Lebanese10AR37.lazaridis-2016 Arabs
Lebanese2AQ127_Lebanese2AQ127.lazaridis-2016 Arabs
Lebanese2AQ121_Lebanese2AQ121.lazaridis-2016 Arabs
Lebanon1_Lebanon1.khazar Arabs
LIB7_LIB7.lazaridis-2016 Arabs
LIB30_LIB30.lazaridis-2016 Arabs
GRC12118105_GRC12118105.khazar Arabs
LIB18_LIB18.lazaridis-2016 Arabs
LIB27_LIB27.lazaridis-2016 Arabs
Lebanese7AR23_Lebanese7AR23.lazaridis-2016 Arabs
Lebanese7AR20_Lebanese7AR20.lazaridis-2016 Arabs
Lebanese7AQ150_Lebanese7AQ150.lazaridis-2016 Arabs
Lebanese6AS15_Lebanese6AS15.lazaridis-2016 Arabs
Lebanese30AR21_Lebanese30AR21.lazaridis-2016 Arabs
LIB13_LIB13.lazaridis-2016 Arabs
armenia162_armenia162.lazaridis-2014 Armenians
armenia139_armenia139.lazaridis-2014 Armenians
armenia106_armenia106.lazaridis-2014 Armenians
armenia102_armenia102.lazaridis-2014 Armenians
Gavar_594277.armenian Armenians
Yerevan_594273.armenian Armenians
Yerevan_594274.armenian Armenians
Gavar_594275.armenian Armenians
Gavar_594276.armenian Armenians
armenia176_armenia176.lazaridis-2014 Armenians
Yerevan_594272.armenian Armenians
armenia191_armenia191.lazaridis-2014 Armenians
Dprabak_594266.armenian Armenians
armenia293_armenia293.lazaridis-2014 Armenians
armenia86_armenia86.lazaridis-2014 Armenians
armenia91_armenia91.lazaridis-2014 Armenians
Yerevan_594269.armenian Armenians
Dprabak_594268.armenian Armenians
Dprabak_594265.armenian Armenians
Dprabak_594264.armenian Armenians
Dprabak_594262.armenian Armenians
Dprabak_594261.armenian Armenians
Dprabak_594259.armenian Armenians
Dprabak_594258.armenian Armenians
Gavar_594278.armenian Armenians
armenia279_armenia279.lazaridis-2014 Armenians
Gavar_594279.armenian Armenians
Martuni_594730.armenian Armenians
Gavar_594283.armenian Armenians
Chambarak_595092.armenian Armenians
Chambarak_595091.armenian Armenians
Chambarak_594843.armenian Armenians
Martuni_594746.armenian Armenians
Martuni_594745.armenian Armenians
Martuni_594744.armenian Armenians
Chambarak_594742.armenian Armenians
Chambarak_594741.armenian Armenians
Chambarak_594740.armenian Armenians
Martuni_594739.armenian Armenians
Martuni_594737.armenian Armenians
Martuni_594734.armenian Armenians
Martuni_594732.armenian Armenians
Dprabak_594257.armenian Armenians
Martuni_594727.armenian Armenians
Martuni_594725.armenian Armenians
Martuni_594724.armenian Armenians
Martuni_594723.armenian Armenians
Martuni_594722.armenian Armenians
Martuni_594718.armenian Armenians
Martuni_594716.armenian Armenians
Martuni_594715.armenian Armenians
Martuni_594712.armenian Armenians
Martuni_594711.armenian Armenians
Gavar_594310.armenian Armenians
Gavar_594280.armenian Armenians
arm10_arm10.jew Armenians
arm5_arm5.jew Armenians
arm12_arm12.jew Armenians
Yegvard_594219.armenian Armenians
Yegvard_594217.armenian Armenians
Yegvard_594215.armenian Armenians
Yegvard_594213.armenian Armenians
Yegvard_594212.armenian Armenians
Gavar_594210.armenian Armenians
Gavar_594209.armenian Armenians
Gavar_594207.armenian Armenians
Gavar_594206.armenian Armenians
Chambarak_591457.armenian Armenians
Chambarak_591413.armenian Armenians
Chambarak_591337.armenian Armenians
Chambarak_591336.armenian Armenians
Chambarak_591335.armenian Armenians
Chambarak_591334.armenian Armenians
Chambarak_591333.armenian Armenians
Chambarak_591330.armenian Armenians
Chambarak_591329.armenian Armenians
Chambarak_591328.armenian Armenians
Chambarak_591327.armenian Armenians
Chambarak_591325.armenian Armenians
Chambarak_591323.armenian Armenians
Chambarak_591322.armenian Armenians
Chambarak_591321.armenian Armenians
Chambarak_591320.armenian Armenians
Yegvard_594221.armenian Armenians
Yegvard_594222.armenian Armenians
Yegvard_594227.armenian Armenians
Yegvard_594230.armenian Armenians
arm13_arm13.jew Armenians
arm14_arm14.jew Armenians
arm17_arm17.jew Armenians
arm18_arm18.jew Armenians
arm19_arm19.jew Armenians
arm20_arm20.jew Armenians
arm21_arm21.jew Armenians
arm23_arm23.jew Armenians
arm26_arm26.jew Armenians
arm3_arm3.jew Armenians
arm4_arm4.jew Armenians
Chambarak_595094.armenian Armenians
arm11_arm11.jew Armenians
arm6_arm6.jew Armenians
arm8_arm8.jew Armenians
arm9_arm9.jew Armenians
Dprabak_594256.armenian Armenians
Dprabak_594252.armenian Armenians
Dprabak_594251.armenian Armenians
Dprabak_594250.armenian Armenians
Dprabak_594247.armenian Armenians
Dprabak_594245.armenian Armenians
Dprabak_594244.armenian Armenians
Dprabak_594243.armenian Armenians
Yegvard_594237.armenian Armenians
Yegvard_594235.armenian Armenians
arm7_arm7.jew Armenians
Chambarak_595095.armenian Armenians
Dprabak_594254.armenian Armenians
Chambarak_595098.armenian Armenians
ARK_88.inner-eurasia Armenians
ARK_89.inner-eurasia Armenians
Chambarak_595096.armenian Armenians
LebArmenian_1195.armenian-lebanon Armenians
LebArmenian_1227.armenian-lebanon Armenians
LebArmenian_1278.armenian-lebanon Armenians
LebArmenian_1283.armenian-lebanon Armenians
LebArmenian_1366.armenian-lebanon Armenians
ARK_84.inner-eurasia Armenians
LebArmenian_1369.armenian-lebanon Armenians
LebArmenian_1461.armenian-lebanon Armenians
LebArmenian_1481.armenian-lebanon Armenians
LebArmenian_1516.armenian-lebanon Armenians
